feature,class
"[-283.2144     102.64268     12.902011    43.4498       5.5806165
   -5.767193    -5.489946    -1.4141256   -3.34312     -8.882221
   -6.9368024   -1.1997678  -12.853129    -1.169937    -8.009669
   -3.8317587   -5.6836567   -4.201907    -2.8187215   -4.3618407
   -8.915592    -8.488769    -1.8656716   -4.61797     -5.8751054
    1.0027918   -2.456018    -1.5412759    3.4550858    2.8231745
    5.035751     6.7035666    6.402231     6.4137855    6.120917
    5.4388804    4.8703203    2.7065659    2.2437284    1.4918337]",female
"[-2.5267426e+02  9.9679169e+01  2.5114948e-01  4.8571484e+01
  1.6438602e+01  1.0660267e+01 -6.6476507e+00 -5.2078116e-01
 -1.5504771e+01  2.7339063e+00 -1.8305141e+01  2.2827995e+00
 -1.0018166e+01 -4.0243878e+00 -2.7105114e+00  3.1328137e+00
 -6.6631522e+00 -2.2071154e+00  9.4380748e-01  5.1946884e-01
 -3.9095001e+00  3.9675469e+00  2.5599668e+00 -1.4482760e+00
 -1.5941324e+00  2.5534756e+00 -2.7319436e+00  1.8421715e+00
  1.0924553e+00 -1.4916191e+00 -1.5139349e+00 -1.7636072e-02
 -3.1323075e-01  1.5616511e+00 -2.9256725e-01 -2.0157149e+00
 -3.6086805e+00 -4.7272015e+00 -2.3619852e+00 -1.0249163e+00]",male
"[-2.9853323e+02  1.1103142e+02  3.1933663e+00  4.3252430e+01
  1.4172477e+01  1.6455625e+00 -1.2284470e+01 -1.5254262e+01
 -3.3030857e+01 -1.1245915e+01 -2.7855585e+00 -5.5901346e+00
 -9.4654207e+00 -8.9888096e+00 -1.0694497e+00  4.7127557e+00
 -6.5673366e+00 -3.7190244e+00  2.2966022e+00 -3.6583316e+00
 -9.9247561e+00 -7.0222449e+00 -6.5958018e+00 -4.8031530e+00
  3.3190110e-01 -3.0231473e-01  2.4234078e+00 -2.8346181e+00
 -5.0692687e+00  3.8293871e-01 -4.3720894e+00 -7.8431547e-01
 -2.5312300e+00 -5.6717610e+00  1.3997722e+00 -5.7307882e+00
 -2.4476731e+00 -3.4832919e+00 -2.8036466e+00 -1.9964737e-01]",male
"[-2.5061511e+02  1.1796154e+02  8.8780231e+00  5.1569702e+01
  6.9492192e+00  1.5374743e+01 -1.2934455e+01 -4.6076827e+00
 -1.2518086e+00 -1.4323441e+00 -1.3847142e+01  3.0541048e+00
 -7.1256104e+00 -1.5342616e+00  1.3254566e+00  1.2829539e+00
 -4.3741307e+00  2.0205281e+00  1.5068815e+00 -1.3630958e-01
 -1.4370360e+00 -1.5707909e+00  5.7094371e-01 -4.3003311e+00
 -2.1475837e+00 -2.4595790e+00 -6.3660443e-01 -2.2605500e+00
 -1.1220347e+00 -2.6418667e+00 -1.3616985e+00 -3.1227350e-01
 -2.0236459e+00 -8.0042344e-01 -3.4079466e+00 -1.5191054e+00
 -2.4988279e+00 -1.6857797e+00 -1.1207942e+00 -2.4135544e+00]",male
"[-3.29309418e+02  1.10299728e+02  1.01238165e+01  1.66420460e+01
  2.30387509e-01  1.29130821e+01 -2.35424590e+00  5.64104605e+00
 -1.13976898e+01  3.80555248e+00 -1.07296925e+01  2.88046050e+00
 -6.78592253e+00 -3.49544096e+00 -5.55306005e+00  4.44993067e+00
 -6.24737024e+00  4.28977489e+00 -1.94570005e+00  3.60797668e+00
 -2.36070681e+00  3.47633600e+00  2.17218661e+00 -2.67224669e-01
 -1.77820653e-01 -5.24511933e-01 -2.13647914e+00  9.96242166e-02
 -2.19796443e+00 -6.96214581e+00 -4.80525255e+00  1.13363481e+00
  4.26238984e-01 -7.14734972e-01  2.59774864e-01 -1.66288471e+00
 -7.62291050e+00 -4.12081051e+00 -4.41614246e+00 -3.89926052e+00]",male
"[-3.4258633e+02  1.1531626e+02  2.7488783e+01  3.8895161e+01
  2.0146320e+01  9.3810120e+00  9.6878362e-01  4.7900167e+00
 -7.6358109e+00 -7.8259015e+00 -6.3029723e+00 -2.8949225e+00
 -4.2885404e+00 -4.8967195e+00  1.2557888e+00  1.2610070e+00
 -4.2158942e+00 -1.3182158e+00 -1.7769046e+00 -4.1377892e+00
 -4.0399065e+00 -2.9533138e+00 -3.9752886e+00 -2.6487827e+00
 -2.8539541e-01 -1.2454481e+00 -2.1480100e+00 -2.1488588e+00
 -2.6486313e+00 -2.5619636e+00 -2.1564615e+00 -1.6996443e+00
 -1.9111760e+00 -1.0592999e+00 -2.1994126e-01 -1.1049558e+00
 -1.1951116e+00 -2.9372642e+00 -3.3713727e+00 -2.7141399e+00]",male
"[-272.40143     121.546906    -11.292702     33.18766     -14.284624
   26.241112    -14.512353     -1.2940329     2.483793    -13.741224
   -4.387085     -2.1156962    -1.9196838    -2.334865      6.3642373
   -2.5211058     0.53320926    0.34387213    3.921303     -2.534101
   -4.821773      0.46305108   -1.5164657    -1.7288642    -2.9030735
    0.746642     -0.6443643     1.4693286    -0.6504048     0.60484976
    2.4380498    -2.3213968    -0.93351483    1.4394882    -0.5688246
   -0.4694433     0.5090109    -3.5676396    -2.4939563    -1.702876  ]",male
"[-3.17123291e+02  1.18436569e+02  3.37937050e+01  5.09065552e+01
  1.71040592e+01  2.06525445e+00  1.41576838e+00  9.53222930e-01
 -2.05819855e+01  1.07598448e+01  2.67007613e+00  6.94864368e+00
  6.15560675e+00  5.11729050e+00 -3.44806576e+00  7.98283243e+00
 -8.12036133e+00  5.24980831e+00 -1.10406744e+00  2.31856179e+00
 -8.35949361e-01 -1.60914207e+00 -4.61436987e+00 -2.18897462e+00
  6.37734771e-01 -3.11107993e+00  2.39417529e+00 -1.27813196e+00
  9.66779888e-01 -1.04062808e+00 -2.30094314e+00  6.79228723e-01
 -2.30982351e+00 -6.09258652e-01 -2.12453604e+00 -1.22572586e-01
 -2.33229661e+00 -9.23062861e-01 -1.54593980e+00 -1.59660912e+00]",male
"[-3.00588440e+02  1.10220085e+02 -1.26692209e+01  3.29710922e+01
 -7.36593628e+00  2.62487459e+00 -2.19054532e+00  5.91559505e+00
 -5.89790392e+00 -1.03512621e+00 -1.42014055e+01  6.60480213e+00
 -6.83246994e+00 -4.68525857e-01 -4.69415474e+00  3.66423154e+00
 -8.37943745e+00 -9.12651792e-03 -2.10783052e+00  7.44025612e+00
 -5.16522837e+00 -1.61573958e+00  9.75721776e-01 -2.74924546e-01
 -1.08126116e+00  1.14196646e+00 -1.35806704e+00 -2.32887313e-01
  3.96501660e-01 -8.10056850e-02 -1.07647896e-01  8.28941524e-01
  2.30328417e+00 -9.34673369e-01 -3.57814527e+00  2.54851294e+00
 -1.57419908e+00 -8.43342766e-02  7.86842942e-01 -1.37125504e+00]",male
"[-3.44469299e+02  1.27844574e+02  1.81421149e+00  4.31665764e+01
  3.76322651e+00  6.86210012e+00 -2.78565235e+01 -7.21691942e+00
  1.28145838e+00 -9.38322449e+00 -9.86014843e+00 -7.27660179e-01
 -5.12870693e+00 -1.65881004e+01  7.91593552e+00 -6.81810474e+00
 -4.65641403e+00  1.02663003e-01 -1.01690140e+01 -8.08913136e+00
 -5.85257721e+00 -6.31369829e-01 -5.52397823e+00 -2.68274903e+00
 -1.87540722e+00 -2.59594321e+00  9.43094134e-01 -2.80023479e+00
 -2.32028651e+00  8.11311483e-01 -2.42162514e+00 -3.76852274e+00
 -1.54246497e+00  1.14168322e+00 -1.61376059e+00 -2.23115563e+00
 -5.92236459e-01 -1.65472734e+00  2.75493860e-01 -2.66573048e+00]",male
"[-353.86978     113.80188      18.66986      34.4771       -2.3828359
   -7.252819    -19.786493      2.4352226   -12.841347    -13.745573
   -3.8702638   -10.589329     -5.5311637   -14.646671     -4.880566
   -4.753108     -8.156214     -3.5611212    -2.8428762    -6.0644727
   -6.642771     -5.10816      -6.5230236    -4.998241     -5.3765574
   -3.0438602    -2.5481691    -2.9804783    -2.4887795    -3.7399335
   -2.5910606    -0.39983487   -1.5624893    -2.928065     -2.8546531
   -2.419049     -0.78205603   -0.5312922    -1.9761019    -3.344023  ]",male
"[-286.4136     114.88988    -17.072327    68.09675      0.692431
   14.09184    -22.65186    -11.155883    -2.0956652   -4.436592
   -2.5737472    3.6472988   -5.956281   -13.06546      2.4487896
   -9.875416     1.2329869   -3.8742743   -1.861752    -6.5337567
   -5.473947     1.1746161   -6.176007     1.2662336   -1.7043592
   -2.2185488   -5.0735164   -4.2633595   -3.1316526   -2.1477306
   -0.7746373   -1.2186116   -1.6324604   -3.2069778   -1.3123688
   -1.4578608   -1.0040694   -1.7790569   -1.0501071   -2.368028 ]",male
"[-313.53613      98.51569      10.209071     27.214203      7.951036
    7.7748556   -10.297125      2.5860953   -12.69403       5.247121
   -3.1729949     6.368871     -4.213221      3.701245     -5.203407
   -5.8659954    -1.9196516    -3.163202     -0.9877946     1.3857632
   -2.4370954    -6.3890257    -1.2969323    -0.33504683   -1.5064863
   -1.5516045    -1.2326535     3.5473        2.8353071    -0.5528545
    1.4266746     5.248669     -0.3486133     4.7043357     6.701817
    7.809962      7.943078      7.6442785     4.115206      0.62659985]",female
"[-3.3601877e+02  1.2782894e+02 -9.4081411e+00  3.5486340e+01
  6.0464483e-01 -1.5704070e-01 -2.1169607e+01 -1.1628105e+01
 -1.0605392e+01 -8.2310743e+00 -9.0618744e+00 -7.4224639e+00
 -4.1369023e+00 -6.9456244e+00 -3.9579284e+00 -9.6635036e+00
 -4.9916625e+00 -3.3989565e+00 -2.1273081e+00 -1.0912526e+01
 -7.4507771e+00 -7.7241926e+00 -7.1690612e+00  1.2922160e-01
 -3.4415960e+00 -1.6132963e+00 -3.0751908e+00 -2.6808257e+00
 -2.8983195e+00 -1.9847679e+00 -3.2840781e+00 -2.6488569e+00
 -3.5531642e+00 -5.2572656e+00 -7.0741147e-01  1.2373188e+00
  1.3282683e+00  1.8395160e+00  2.7161713e+00  1.4758085e+00]",female
"[-3.2528952e+02  1.0391016e+02 -1.3694844e+01  2.4394087e+01
 -3.5462584e+00  1.0495751e+01 -2.0201780e+01 -1.2294600e+01
 -1.5949761e+01 -8.2912626e+00 -7.3245363e+00 -5.3266721e+00
 -3.8986278e-01 -2.8621058e+00 -9.2942905e-01 -1.0816352e+01
  1.7852329e+00 -5.1824675e+00 -6.3411360e+00 -8.6166782e+00
 -7.9986715e+00 -2.1391726e+00 -3.8699117e+00  4.9922445e-01
 -5.0766411e+00 -1.9861962e+00 -1.7306776e-01 -3.9868903e+00
 -1.5594950e+00  8.9958614e-01  1.5822411e+00  3.9971553e-02
 -1.3874261e+00 -2.7632970e-01  3.1392846e-01  4.4276282e-01
  1.5401835e+00  1.3012506e+00 -9.3451446e-01  6.7303292e-02]",female
"[-335.6609      102.48583     -11.352544     30.739405    -12.073374
   -4.8831344   -12.130775     -9.801506     -7.468792    -14.763197
   -4.734424     -9.719656     -7.9010797    -1.4046602    -1.9507604
   -6.726241     -1.4165287    -7.26486      -5.039586     -0.55074173
  -12.775975     -7.422993     -3.2553618     0.5787999     2.4234447
   -4.8503394    -2.5510094    -1.2838843    -4.8627467    -2.087664
    0.6029472     0.6828128     0.50898534    0.7255433     5.200289
    3.459296     -0.36900237    0.35009885   -1.6350018    -2.6878898 ]",female
"[-3.67920990e+02  1.01630951e+02  1.48193865e+01  2.07410412e+01
  2.64107752e+00  9.52690411e+00 -7.03392839e+00 -2.89094895e-01
 -3.02390981e+00 -7.99130392e+00 -1.00697899e+01 -7.35065460e+00
 -3.91407013e-01 -5.31438112e+00 -1.02805674e+00 -2.68543863e+00
 -2.64514971e+00 -9.84252930e-01  4.81666625e-02 -3.02191401e+00
 -2.65765190e+00 -1.86712909e+00 -4.78885841e+00 -1.95378268e+00
 -1.82407486e+00 -2.19838858e+00 -1.46868539e+00 -2.01293898e+00
 -2.01990557e+00 -2.74096084e+00 -2.46203804e+00 -1.11801469e+00
 -3.86862278e+00 -1.98045278e+00 -1.74780023e+00 -3.41023755e+00
 -1.59607267e+00 -1.60859442e+00 -1.16158891e+00 -2.05466890e+00]",male
"[-3.16655212e+02  1.16647484e+02  2.29806919e+01  2.08049679e+01
  1.79656296e+01  3.18598318e+00 -1.11494837e+01  1.37385635e+01
 -1.44459991e+01  9.90062058e-01  3.25744104e+00 -2.66988015e+00
 -5.38594532e+00  1.27128963e+01 -4.05215120e+00  4.13751936e+00
 -4.40547037e+00  1.58666992e+00  1.63929391e+00  8.90229523e-01
 -7.45554268e-01  9.70726907e-01 -5.72640276e+00  5.89409447e+00
  1.41983604e+00 -3.82721329e+00  2.62708712e+00  5.14541674e+00
 -1.61806464e+00  2.24746048e-01  1.16447365e+00 -8.81094813e-01
 -5.70190907e-01  3.92122209e-01  1.75944701e-01  2.07378209e-01
 -9.27578986e-01 -9.76600945e-01 -1.07337499e+00  2.57583946e-01]",male
"[-3.4128235e+02  1.0495258e+02  2.9589293e+01  3.6801624e+01
  1.7340549e+01  4.7034059e+00 -2.2532127e+00  2.9145873e-01
 -1.0252545e+01 -1.3931452e+00 -2.9870925e+00  4.4707829e-01
 -5.9660211e+00  5.0256405e+00 -1.9891081e+00 -2.2769456e+00
 -3.5599852e+00 -3.9119067e+00 -4.4316139e+00 -3.6890786e+00
 -2.4331682e+00 -1.0436070e+00  3.1866934e+00  1.6199080e+00
  3.2276919e+00  5.8179212e+00  3.6948793e+00  5.3354769e+00
  7.0568027e+00  5.4739194e+00  3.9008501e+00  5.5256543e+00
  3.9259160e+00  1.2705213e+00  1.9837209e+00  1.5929559e+00
 -1.4934559e-01  7.7653676e-01  8.5291696e-01 -9.9376500e-01]",female
"[-3.8352603e+02  1.0540047e+02  1.8184744e+01  3.2105057e+01
  8.6070395e+00  5.3858409e+00 -2.2838876e+00  5.8786267e-01
  4.5288844e+00  5.4145699e+00 -1.0758702e-01  5.3241229e+00
 -4.6647769e-01  3.7773166e+00 -1.2720853e+00  1.8918291e+00
  5.0226207e+00  2.2929075e+00 -1.9956359e+00  7.5226206e-01
 -5.1490741e+00 -3.9379494e+00  2.7183837e-01 -1.9169663e+00
  1.5617806e-01  7.7823436e-01 -2.1725314e+00 -2.5006163e+00
  2.7642071e-01  4.3923731e+00  2.6668675e+00  2.0781915e+00
  4.5601525e+00  3.9417024e+00  5.8045673e+00  5.5766807e+00
  3.3568814e+00  3.2092392e+00  2.7239320e+00 -1.0713356e+00]",female
